SampleID	Country	SubRegion	Region	Location	VSSC  median coverage	ACE1  median coverage	GSTE2  median coverage	GABA  median coverage
ERR4065454	French Polynesia	French Polynesia	French Polynesia	French Polynesia:Bora-Bora	1.1666666666666667	1.1666666666666667	1.0	1.1666666666666667
ERR4065455	French Polynesia	French Polynesia	French Polynesia	French Polynesia:Bora-Bora	0.8571428571428571	0.8571428571428571	1.1428571428571428	0.7142857142857143
ERR4065456	French Polynesia	French Polynesia	French Polynesia	French Polynesia:Bora-Bora	1.0	1.2	1.2	0.8
ERR4065457	French Polynesia	French Polynesia	French Polynesia	French Polynesia:Bora-Bora	1.1666666666666667	1.0	1.3333333333333333	1.1666666666666667
ERR4065458	French Polynesia	French Polynesia	French Polynesia	French Polynesia:Bora-Bora	1.2	1.0	0.8	0.8
ERR4065459	French Polynesia	French Polynesia	French Polynesia	French Polynesia:Bora-Bora	1.2	1.0	0.8	1.2
ERR4065460	French Polynesia	French Polynesia	French Polynesia	French Polynesia:Bora-Bora	1.0	1.0	1.1666666666666667	1.0
ERR4065462	French Polynesia	French Polynesia	French Polynesia	French Polynesia:Bora-Bora	1.0	1.0	1.4285714285714286	1.2857142857142858
ERR4065463	French Polynesia	French Polynesia	French Polynesia	French Polynesia:Bora-Bora	1.1428571428571428	1.4285714285714286	1.5714285714285714	1.0
ERR4065465	Thailand	Thailand	Americas, East Kenya and others	Thailand: Nakh	0.8888888888888888	1.2222222222222223	3.6666666666666665	1.0
ERR4065466	Thailand	Thailand	Americas, East Kenya and others	Thailand: Nakh	1.0	1.0714285714285714	4.0	1.0
ERR4065468	Thailand	Thailand	Americas, East Kenya and others	Thailand: Nakh	1.2857142857142858	1.0	3.857142857142857	1.2857142857142858
ERR4065469	Thailand	Thailand	Americas, East Kenya and others	Thailand: Nakh	1.0	1.1428571428571428	4.714285714285714	1.0
ERR4065470	Thailand	Thailand	Americas, East Kenya and others	Thailand: Nakh	1.0	1.0	3.875	1.125
ERR4065471	Thailand	Thailand	Americas, East Kenya and others	Thailand: Nakh	1.0	1.0909090909090908	3.727272727272727	1.0
ERR4065472	Thailand	Thailand	Americas, East Kenya and others	Thailand: Nakh	1.0	1.2	3.75	0.95
