	XM_001662595.2	XM_001657462.3	XM_021847043.1	XM_001664194.2	XM_021851049.1	XM_001649790.2	XM_021850261.1	XM_001652683.2	XM_021841341.1	XM_001648700.2	XM_021857384.1	XM_021852340.1	XM_001649087.2	XM_021853012.1	XM_021851750.1	XM_021840622.1	XM_001657120.2	XM_021851332.1	XM_021846286.1
SRR11006602	1	1	1	1	1	1	1	1	0	0	0	1	0	1	1	1	1	1	0
SRR11006837	1	1	1	1	1	1	1	1	0	-1	-1	1	0	1	1	1	1	1	0
SRR11006899	-1	1	1	1	1	1	1	1	0	0	0	1	0	1	1	1	1	1	0
SRR11006838	1	1	1	1	1	1	1	1	0	0	0	1	-1	1	1	1	1	1	0
SRR11006956	1	1	1	1	1	1	1	1	0	-1	0	1	1	1	1	-1	1	1	2
SRR11006788	1	1	1	1	1	1	1	1	0	0	0	1	1	1	1	1	1	0	0
SRR11196612	1	1	1	1	1	1	1	1	0	0	0	1	0	1	1	1	1	1	1
SRR11006784	1	1	1	1	1	1	1	0	0	0	0	1	1	1	1	1	1	1	0
SRR11006561	1	1	1	-1	1	1	1	1	0	0	-1	1	0	1	1	1	1	1	0
SRR11006482	1	1	1	1	1	1	1	1	0	0	1	1	1	1	0	1	1	1	0
SRR11006853	1	1	0	1	1	1	1	0	0	0	0	1	1	1	1	1	1	1	0
SRR11237954	1	1	1	1	1	1	1	1	0	0	-1	1	0	1	1	1	1	1	0
SRR11006587	1	0	1	-1	1	1	1	1	0	0	0	1	0	1	1	1	0	1	0
SRR11100125	1	1	1	1	1	1	1	1	0	1	0	1	0	1	1	1	1	1	0
SRR11006581	1	1	1	1	1	1	1	1	0	0	0	1	0	1	1	1	1	1	0
SRR11006653	-1	1	1	-1	1	1	1	0	0	0	0	1	1	1	1	1	1	1	0
SRR11238022	1	1	-1	1	1	1	1	1	0	0	0	1	1	0	1	1	1	1	2
SRR11006855	1	1	1	1	1	1	1	1	0	0	0	1	1	1	1	1	1	1	0
ERR4065460	1	1	1	1	1	1	1	1	0	0	0	1	1	1	1	1	1	1	0
SRR11006572	1	1	1	1	1	1	1	1	0	0	0	1	0	-1	1	1	1	1	0
SRR11006496	1	1	1	1	1	1	1	1	0	0	0	1	0	1	1	1	1	1	0
SRR11006918	1	1	1	1	1	1	1	1	0	0	0	1	1	1	1	1	1	1	0
ERR4065469	1	1	1	1	1	1	1	1	0	0	0	1	0	1	1	1	1	1	2
SRR11100197	1	1	1	1	1	1	1	1	0	0	0	1	0	1	1	1	1	1	0
SRR11196609	1	1	1	1	1	1	1	1	0	0	1	1	0	1	1	1	1	1	0
ERR4065458	1	-1	1	-1	1	1	1	1	0	0	0	1	1	1	1	1	1	1	0
SRR11196657	1	1	1	1	1	1	1	1	0	0	0	1	0	1	1	1	1	1	0
SRR11006822	1	1	1	-1	1	1	1	0	0	0	0	1	0	1	1	1	1	1	0
SRR11006539	1	1	1	1	1	1	1	1	0	0	0	1	0	1	1	1	1	1	0
SRR11196652	1	1	1	1	1	1	1	0	0	0	0	1	0	1	1	1	1	1	2
SRR5562853	1	1	1	1	1	1	1	1	0	0	0	1	1	1	1	1	1	1	0
SRR11006818	1	1	1	1	1	1	1	1	0	0	0	1	0	1	1	1	1	1	0
SRR11237931	1	1	1	1	1	1	1	1	-1	0	0	1	0	1	1	1	1	1	0
SRR11006500	1	1	1	1	1	1	1	1	0	0	0	1	0	1	1	-1	1	1	0
SRR11006711	1	1	1	1	1	1	1	0	0	0	0	1	1	1	1	1	1	1	0
ERR4065471	1	1	1	1	1	1	1	1	0	0	-1	1	0	1	1	1	1	1	2
SRR11006804	1	1	1	1	1	1	1	1	0	0	0	1	0	1	1	1	1	1	0
