	XM_001662595.2	XM_001657462.3	XM_021847043.1	XM_001664194.2	XM_021851049.1	XM_001649790.2	XM_021850261.1	XM_001652683.2	XM_021841341.1	XM_001648700.2	XM_021857384.1	XM_021852340.1	XM_001649087.2	XM_021853012.1	XM_021851750.1	XM_021840622.1	XM_001657120.2	XM_021851332.1	XM_021846286.1
SRR11006602	0.9375	0.9375	1.1875	1.0	1.0	1.0	1.0625	0.875	0.8125	1.25	1.0	1.125	0.875	1.0	0.9375	1.0	1.125	1.0625	0.75
SRR11006837	1.0	1.0769230769230769	1.0769230769230769	1.0	0.9230769230769231	1.0	1.0	1.0769230769230769	1.0769230769230769	0.7692307692307693	0.9230769230769231	1.1538461538461537	0.9230769230769231	1.1538461538461537	0.9230769230769231	1.0	0.8076923076923077	1.0769230769230769	1.5384615384615385
SRR11006899	0.9375	0.875	1.125	1.0	0.9375	1.1875	1.0	0.75	1.0	0.875	0.8125	1.125	1.0625	0.875	0.875	0.9375	1.0625	1.0625	0.75
SRR11006838	0.9285714285714286	1.0	1.2857142857142858	1.0714285714285714	0.9285714285714286	1.0714285714285714	0.9285714285714286	0.9285714285714286	1.0	1.0	1.0	1.1428571428571428	1.0	1.0	1.0714285714285714	1.0	0.9285714285714286	1.0714285714285714	1.9285714285714286
SRR11006956	0.9444444444444444	0.8333333333333334	0.9444444444444444	0.9444444444444444	1.0	0.8888888888888888	1.1666666666666667	0.8333333333333334	1.0555555555555556	0.9444444444444444	1.0	1.1111111111111112	1.0833333333333335	0.8888888888888888	1.0	1.0	0.8333333333333334	1.0555555555555556	4.055555555555555
SRR11006788	1.0	0.8947368421052632	1.3157894736842106	1.0	0.8947368421052632	0.9473684210526315	1.0526315789473684	0.9473684210526315	1.0	1.0	1.0526315789473684	1.1578947368421053	1.0526315789473684	1.263157894736842	1.4210526315789473	1.105263157894737	1.1578947368421053	1.105263157894737	0.8421052631578947
SRR11196612	0.9545454545454546	1.0909090909090908	1.0909090909090908	1.0454545454545454	0.9090909090909091	0.9090909090909091	1.0454545454545454	0.7272727272727273	0.9545454545454546	0.9545454545454546	0.9090909090909091	1.0909090909090908	1.1818181818181819	1.0454545454545454	1.1363636363636365	1.0	1.0	1.1363636363636365	7.636363636363637
SRR11006784	1.0625	1.0625	0.9375	0.9375	0.9375	1.0	1.0	0.8125	1.0	1.0	0.9375	1.0625	1.25	0.875	1.1875	1.0	1.125	0.9375	0.875
SRR11006561	0.8461538461538461	0.8461538461538461	1.2307692307692308	0.9230769230769231	1.0	1.0	0.8461538461538461	1.0769230769230769	1.0769230769230769	1.0769230769230769	1.0	1.1538461538461537	1.3076923076923077	1.1538461538461537	0.9230769230769231	1.0769230769230769	1.0	1.2307692307692308	0.8461538461538461
SRR11006482	1.0526315789473684	0.8947368421052632	0.9473684210526315	0.9473684210526315	1.0526315789473684	1.0	0.8421052631578947	0.5263157894736842	1.0526315789473684	1.0	1.105263157894737	1.0526315789473684	1.105263157894737	1.1578947368421053	0.7894736842105263	0.8947368421052632	1.263157894736842	1.0	0.7894736842105263
SRR11006853	1.1111111111111112	1.0	1.4444444444444444	1.1111111111111112	0.8888888888888888	0.9444444444444444	1.1111111111111112	0.7777777777777778	1.2222222222222223	1.1111111111111112	1.3333333333333333	1.3333333333333333	1.0	1.1111111111111112	1.6111111111111112	1.3333333333333333	0.7777777777777778	1.3333333333333333	1.5555555555555556
SRR11237954	0.9090909090909091	1.0909090909090908	1.1818181818181819	0.9090909090909091	0.8181818181818182	1.0	0.9090909090909091	0.7272727272727273	1.0	0.8181818181818182	1.0909090909090908	1.0909090909090908	1.0909090909090908	1.0909090909090908	1.2727272727272727	1.0	0.9090909090909091	1.0909090909090908	0.9090909090909091
SRR11006587	1.0625	1.0	1.125	0.9375	1.0625	1.0625	0.875	1.0	1.1875	1.0	0.9375	1.0625	1.0625	1.25	1.125	1.0	1.3125	1.3125	0.875
SRR11100125	1.0	1.0909090909090908	1.0909090909090908	1.0	0.8181818181818182	1.0	1.0	0.8181818181818182	1.0	0.8181818181818182	1.0	1.1818181818181819	1.0	1.0909090909090908	1.0909090909090908	1.0	0.8181818181818182	1.0	0.45454545454545453
SRR11006581	0.8333333333333334	1.0	1.1111111111111112	0.8888888888888888	1.0555555555555556	1.0555555555555556	0.9444444444444444	0.8333333333333334	1.0	1.0555555555555556	1.0	1.1111111111111112	0.9444444444444444	0.8888888888888888	0.9444444444444444	1.1111111111111112	1.0	1.0555555555555556	0.8333333333333334
SRR11006653	1.0	0.8823529411764706	1.1176470588235294	1.0	1.0	0.9411764705882353	1.0	0.8823529411764706	0.8823529411764706	1.0	0.9411764705882353	1.0588235294117647	1.1176470588235294	1.1176470588235294	0.9411764705882353	0.8823529411764706	1.2352941176470589	1.1176470588235294	0.7647058823529411
SRR11238022	0.6666666666666666	0.8333333333333334	1.0	0.8333333333333334	0.8333333333333334	1.0	0.8333333333333334	0.8333333333333334	1.0	0.8333333333333334	1.0	1.0	1.5	1.0	0.9166666666666667	0.8333333333333334	1.1666666666666667	0.8333333333333334	4.0
SRR11006855	0.9523809523809523	1.0476190476190477	0.9047619047619048	1.0	1.0952380952380953	0.9523809523809523	1.0476190476190477	0.9047619047619048	0.9523809523809523	1.0	0.7619047619047619	1.0952380952380953	1.0	1.0	0.9047619047619048	0.9523809523809523	1.0952380952380953	1.1428571428571428	0.6190476190476191
ERR4065460	1.0	0.6666666666666666	1.1666666666666667	1.1666666666666667	1.0	0.8333333333333334	1.0	1.0	1.0	1.0	0.8333333333333334	1.1666666666666667	1.0	1.0	1.0	1.0	0.8333333333333334	1.1666666666666667	0.8333333333333334
