Gene	Name	Chr	mRNALen	CDSLen	IsResistance	Orientation	missence_SNP_frequency	unique_aa_substitutions	synonimous_SNP_frequency	unique_missence_SNP	unique_synonimous_SNP
XM_021851049.1	TATAmodulator	NC_035107.1	16757	3178	False	-	0.0	547	0.0	557.0	1040.0
XM_001648700.2	Ydcl	NC_035107.1	21025	2902	False	+	0.0	375	0.0	380.0	602.0
XM_021851750.1	LOC110678629	NC_035107.1	11893	1095	False	-	0.0	35	0.0	35.0	13.0
XM_021857384.1	LOC5580295	NC_035107.1	5094	2479	False	-	0.0	651	0.0	657.0	437.0
XM_001652683.2	PotassiumChannel	NC_035107.1	6901	1017	False	+	0.0	38	0.0	39.0	262.0
XM_021840622.1	GABA	NC_035108.1	233160	1653	True	+	0.0	64	0.0	64.0	180.0
XM_021841341.1	AngiogenicFactor 	NC_035108.1	16408	1811	False	+	0.0	329	0.0	334.0	439.0
XM_001664194.2	TIFIID2	NC_035108.1	18730	3755	False	+	0.0	215	0.0	217.0	738.0
XM_001662595.2	Mcm6	NC_035108.1	12512	2429	False	-	0.0	99	0.0	99.0	167.0
XM_001657120.2	Cytochromeb-c1	NC_035108.1	10122	797	False	+	0.0	48	0.0	48.0	122.0
XM_021846286.1	GSTE2	NC_035108.1	1590	666	True	+	0.0	103	0.0	109.0	158.0
XM_021847043.1	Carbohydratesulfotransferase	NC_035108.1	12752	1330	False	-	0.0	193	0.0	194.0	291.0
XM_001657462.3	LOC5567548	NC_035109.1	12220	1745	False	+	0.0	332	0.0	334.0	396.0
XM_021850261.1	ZincFinger	NC_035109.1	20006	1497	False	-	0.0	235	0.0	235.0	267.0
XM_021851332.1	ACE1	NC_035109.1	159598	2102	True	-	0.0	99	0.0	99.0	144.0
XM_001649087.2	grpE	NC_035109.1	11728	676	False	+	0.0	63	0.0	63.0	59.0
XM_001649790.2	LOC5565494	NC_035109.1	21037	2445	False	-	0.0	526	0.0	527.0	535.0
XM_021852340.1	VSSC	NC_035109.1	479278	6379	True	-	0.0	201	0.0	202.0	873.0
XM_021853012.1	LOC5579101	NC_035109.1	13005	1836	False	+	0.0	377	0.0	378.0	208.0
YP_009389261.1	COX1	NC_035159.1	1536	1536	False	+	753.2552083333334	0	0.0	0.0	0.0
