	All non-resistance exons_X	All non-resistance exons_Y	All countries, resistance exons_X	All countries, resistance exons_Y	chromosome 1, non-resistance exons_X	chromosome 1, non-resistance exons_Y	chromosome 2, non-resistance exons_X	chromosome 2, non-resistance exons_Y	chromosome 3, non-resistance exons_X	chromosome 3, non-resistance exons_Y	cox1 gene_X	cox1 gene_Y
ERR4065454	5.176412	6.079961	7.3055	6.4991164	11.662394	9.563666	10.147829	7.7303505	9.647591	8.024184	-7.9708924	-0.59596366
ERR4065455	5.2248406	6.129852	7.3014336	6.496908	11.6837635	9.540079	10.357603	7.93691	9.572543	8.006865	-7.9138484	-0.5880301
ERR4065456	5.17617	6.0800095	7.3223968	6.511553	11.659182	9.376643	13.135131	10.170301	9.651224	8.0755005	-7.9399314	-0.62959707
ERR4065457	5.177271	6.077449	7.2682786	6.529322	11.7221155	9.571828	11.416068	8.499158	9.597485	7.8989687	-7.939153	-0.6343559
ERR4065458	5.2421875	6.1443276	7.2524095	6.5228124	11.829612	9.611834	10.35012	7.9510756	9.659284	8.001511	-7.9399314	-0.62959707
ERR4065459	5.1892214	6.0957665	7.2601357	6.5209827	11.570066	9.350622	13.5872345	10.4328575	9.460295	7.9135423	-7.9708924	-0.59596366
ERR4065460	5.164596	6.06891	7.2923183	6.4969916	11.804336	9.593572	10.332053	7.998889	9.712624	8.127691	-7.9708924	-0.59596366
ERR4065462	5.174808	6.0764747	7.2701735	6.5349975	11.751528	9.517535	10.709831	8.207745	9.629371	8.042832	-7.9399314	-0.62959707
ERR4065463	5.1652164	6.073263	7.270799	6.522257	11.775894	9.589595	10.077696	7.842874	9.654909	8.067562	-7.9708924	-0.59596366
ERR4065465	2.6623163	2.7433448	6.037362	8.803113	9.549956	8.960057	10.611718	5.1844864	9.400044	11.663335	-10.034528	0.65172255
ERR4065466	2.6435614	2.7255414	6.0139823	8.792971	9.52742	8.833179	10.540714	5.1157465	9.18117	11.845666	-10.034528	0.65172255
ERR4065468	2.680132	2.7573662	6.0101132	8.806747	9.617235	8.891018	10.611996	5.140981	9.135837	11.832159	-10.034528	0.65172255
ERR4065469	2.6544204	2.7719858	6.037043	8.772394	9.580583	8.931439	10.590872	5.2265606	9.227599	11.932692	-10.034528	0.65172255
ERR4065470	2.643142	2.7175012	6.010714	8.7915125	9.5293	8.831033	10.711464	5.030711	9.434436	11.766878	-10.034528	0.65172255
ERR4065471	2.6662805	2.7018478	6.008229	8.795932	9.558551	8.872998	10.937692	4.6255584	9.325531	11.831027	-10.008843	0.6380508
ERR4065472	2.6294794	2.7284055	5.9943004	8.789418	9.569808	8.841373	10.460689	5.154504	9.267807	11.79172	-10.034528	0.65172255
ERR4065473	2.6397042	2.6854203	6.028694	8.787699	9.646878	8.966676	10.661298	5.1632605	9.214383	11.875186	-10.034528	0.65172255
SRR11006478	12.065831	6.0809326	10.663779	0.088622384	6.8779397	5.0779753	12.276307	11.25351	10.3977375	5.1700425	0.5618269	-3.973065
SRR11006479	13.918685	5.2654085	10.122891	1.1719351	7.663301	5.4736776	13.567188	9.015282	10.742544	6.3141828	-14.1930485	1.2107558
SRR11006480	13.432744	5.5417323	10.566312	1.0860997	6.823559	5.140928	11.633759	9.658802	10.638203	4.6748176	-2.045591	-6.262869
SRR11006481	12.505923	5.823963	11.129123	1.2639807	6.671294	6.6495876	12.732552	11.181876	9.010538	8.044169	0.5201198	-3.9905708
SRR11006482	13.396036	5.6642413	10.724355	0.06535536	6.5383887	6.541651	10.025274	7.7518663	9.717069	5.1845517	0.62372315	-3.5185096
SRR11006483	12.933593	6.019595	10.027528	-0.3190649	7.05197	5.646852	13.150067	8.858648	9.839019	6.98192	-14.12512	1.2641605
SRR11006484	13.696588	4.4939036	10.616466	-0.56078804	8.04402	6.0405664	12.755757	10.944206	10.295234	5.2684746	-14.1930485	1.2107558
SRR11006485	12.744278	5.393814	11.209475	2.2400045	8.357591	7.3559484	13.650119	9.178916	10.115046	5.975827	-2.045591	-6.262869
SRR11006486	5.9279866	3.921928	6.8963037	5.6070914	10.433758	4.652039	13.376945	4.820703	12.227971	9.304305	-10.567885	2.1306348
SRR11006487	1.9217117	2.8228962	5.3068466	8.79653	12.179121	9.556586	10.775553	4.209675	8.662609	11.085826	-10.581066	0.9069523
SRR11006488	14.182601	4.860027	9.888512	-0.13668784	6.605034	4.86343	13.662444	9.978825	8.389041	5.3770876	-14.257416	1.133083
SRR11006489	14.063024	5.380383	11.273374	-0.4294053	6.8917365	5.192374	13.485307	9.309173	10.807109	4.670671	0.2682716	-3.6685312
SRR11006490	12.4559355	5.1481633	10.706738	-0.56453097	7.749899	7.402548	14.156312	10.027901	10.878068	5.6238728	-2.045591	-6.262869
SRR11006491	12.797376	5.1107135	11.141002	1.0595416	6.7191353	7.219533	13.42998	10.168183	8.489855	5.600472	0.3735484	-3.9712098
SRR11006492	13.455017	5.71253	11.250433	0.13184059	7.360162	7.191924	10.780016	6.617805	9.421432	6.0373964	0.3573072	-3.6587281
SRR11006493	14.054431	5.241237	10.031535	-0.18333904	6.6936016	5.561627	12.432433	9.066137	8.865074	5.194373	-13.590313	0.775659
SRR11006494	14.115536	5.2411437	11.102461	0.8119116	6.6675115	5.1510224	12.386107	10.551487	10.875544	5.9408607	-14.1930485	1.2107558
SRR11006495	13.564486	4.513508	9.702535	1.2650336	7.313089	6.4901342	13.34407	10.334399	9.015422	5.4999237	-2.0426266	-6.192949
SRR11006496	14.188797	4.944173	10.313363	0.06031366	7.0111265	5.2424865	12.882831	10.381452	8.977961	5.5841208	-2.0426266	-6.192949
SRR11006497	13.465993	5.143348	11.230701	-0.30544978	6.172297	6.2325196	12.744751	11.019983	9.835835	4.3597307	0.3573072	-3.6587281
SRR11006498	5.8740005	3.0038269	6.9975343	5.29391	10.209832	5.19215	12.278093	4.9056034	11.262245	9.382737	-9.201895	2.1301053
SRR11006499	12.735319	5.5922117	9.206134	1.2799733	6.7017093	5.1509013	11.897261	9.671883	9.250324	6.1688313	0.3573072	-3.6587281
SRR11006500	13.279325	4.714253	10.635345	-0.4578077	7.3464994	5.9952846	13.873303	10.244375	9.640208	6.482797	0.3573072	-3.6587281
SRR11006501	13.268898	6.4701524	9.967715	0.31061783	6.7785234	6.4157395	13.296641	10.3262825	9.988035	6.793565	-14.328919	1.1372597
SRR11006502	13.659481	4.4903755	10.207439	1.664394	7.1862736	5.1783595	12.883061	10.9068365	8.322398	5.070909	-14.1930485	1.2107558
SRR11006503	14.140966	5.0085154	9.80783	0.58390915	7.4114065	5.366218	13.993906	10.162383	9.271058	5.462714	-2.045591	-6.262869
SRR11006504	12.732733	4.9569283	10.156252	0.07482602	8.071346	6.1622953	12.940033	8.623313	9.103644	5.059831	-14.1930485	1.2107558
SRR11006505	12.781244	4.939768	9.826884	0.01760009	8.073746	6.1599402	12.967122	8.53018	8.929122	5.2681465	-14.1930485	1.2107558
SRR11006506	12.364194	5.89542	10.124322	0.34918696	7.2677054	6.9937797	14.115342	10.086404	9.093716	4.9885035	-2.045591	-6.262869
SRR11006507	14.001115	4.6240664	10.875605	-0.058052104	6.4586697	5.7902613	13.826811	8.08948	9.39705	5.3347354	-13.622829	0.7115943
SRR11006508	14.209714	5.748313	10.1572485	-0.23444682	7.873694	6.904483	11.118135	8.949608	8.86795	5.789327	-14.123933	1.2370102
SRR11006509	5.6952186	3.571059	6.331345	5.302422	10.507515	5.033559	12.415773	4.9148965	12.0688715	9.4923935	-10.491412	2.2210536
SRR11006510	12.216213	6.434182	11.176537	2.2749312	6.210296	5.91783	13.614204	10.409129	9.458805	6.0204325	0.3573072	-3.6587281
SRR11006511	12.888673	4.8940845	10.532796	-0.067068785	7.821164	7.0554786	13.75656	10.385507	8.9225025	5.2482467	-13.020222	0.909354
SRR11006512	13.078771	5.0081654	11.202728	1.1966323	7.5299807	6.356535	11.32664	9.435574	10.499117	5.605322	-14.123933	1.2370102
SRR11006513	13.333898	5.470643	10.313499	0.795348	8.420394	6.7842674	13.46253	10.488366	10.711235	5.137478	-14.123933	1.2370102
SRR11006514	13.895083	5.1330814	10.919294	1.316144	7.24514	6.8373375	13.059884	9.732297	10.007852	4.3109174	0.2988613	-3.5782356
SRR11006515	14.117756	5.400981	11.255993	-0.46884146	6.936173	5.1743217	13.262487	10.353793	10.439641	4.80949	-1.8679053	-6.0139213
SRR11006516	13.309604	4.744645	9.458432	1.7540493	7.461527	5.876227	13.522846	9.457161	10.956103	5.7272186	-2.045591	-6.262869
SRR11006517	13.285645	5.430309	9.6512	0.15540281	6.141387	5.843158	13.012871	10.975084	9.320476	4.712095	-2.045591	-6.262869
SRR11006519	12.566967	5.4738874	9.293637	-0.34428445	7.734203	6.62308	12.585516	8.738454	8.366084	5.4952626	-1.8664129	-6.115476
SRR11006520	5.277626	3.5939405	6.322375	5.1048446	10.511781	5.3349004	9.994296	5.76332	11.612684	8.895282	-10.37441	1.2637008
SRR11006521	12.720512	6.108599	10.2894125	1.5416933	7.277059	7.0848827	13.82662	10.332656	9.557966	7.713312	-14.1930485	1.2107558
SRR11006522	13.179064	5.2241626	10.627975	0.49394086	7.127441	5.706406	13.629944	9.919469	9.877278	5.9218493	-14.228765	1.0882416
SRR11006523	13.820063	4.5881534	10.681553	0.35079914	7.4446006	5.314713	12.922236	11.217107	9.7685	4.2883935	0.28770915	-3.4419048
SRR11006524	13.595044	4.5838842	9.561393	1.8539039	7.3178453	5.3832207	13.325109	10.630651	9.860556	5.8954263	0.36144337	-3.780313
SRR11006525	13.003318	4.6721706	11.197221	-0.32438868	8.19854	7.110313	12.789989	10.290087	10.77487	6.2694654	-2.045591	-6.262869
SRR11006526	12.749503	6.2958164	12.002042	0.7425236	7.3391123	6.9497824	12.68629	9.1252575	10.407889	4.989364	0.3573072	-3.6587281
SRR11006527	12.954047	5.843615	11.2109995	0.052486226	7.144839	6.908994	13.407537	8.77958	8.408151	5.423327	0.3573072	-3.6587281
SRR11006528	14.098421	4.802744	10.305745	0.161576	6.8735275	5.48326	13.15176	10.446789	10.344652	6.5510163	-2.045591	-6.262869
SRR11006529	12.663717	5.550202	11.217283	0.4747448	9.511523	6.8534245	13.733338	10.127532	10.816085	5.896097	-2.045591	-6.262869
SRR11006530	13.00824	5.010293	10.838411	-0.013529759	7.641671	6.922841	13.502637	9.816905	9.296951	5.499292	-14.1930485	1.2107558
SRR11006531	5.901442	3.9456952	6.085501	5.5060215	10.152192	4.8743334	13.507073	5.119109	12.233103	9.34469	-9.072982	2.836988
SRR11006532	13.478207	4.79966	9.750959	0.43742058	6.928021	5.8264117	12.127289	9.440135	10.943374	5.6516705	-13.344253	0.7098123
SRR11006533	13.295072	5.9096665	10.002612	-0.022841271	8.205682	6.349887	12.934995	8.548539	10.151908	4.6515093	-13.991647	0.8800113
SRR11006534	13.743477	5.35771	12.38656	0.57450897	8.138127	5.646859	10.034345	7.6704555	10.108528	4.9074793	0.29923007	-3.5041733
SRR11006535	13.982944	4.628904	12.401536	0.55277896	6.5931354	5.5762086	14.171481	10.002168	9.661105	4.616813	-1.9462397	-6.0691314
SRR11006536	12.949198	6.087004	12.135886	0.7688617	6.9050956	7.3049726	9.923969	7.67135	9.054117	5.521616	-2.045591	-6.262869
SRR11006537	12.9397	4.97568	12.174612	0.58604205	6.9913006	6.54391	13.580917	10.409844	9.265264	6.502767	-13.662935	1.1076255
SRR11006538	13.842462	5.825941	9.885515	0.3948094	7.409567	5.944632	11.592291	8.794085	10.921281	4.6020694	-13.716252	1.0062889
SRR11006539	12.275923	4.6652946	12.186442	0.6117426	9.01055	6.98031	12.363057	10.494649	9.585177	7.243703	-1.8664129	-6.115476
SRR11006540	12.294965	4.965699	10.739833	-0.5912785	8.641503	6.6130037	12.619581	9.035596	9.693797	7.1590137	-12.9832535	0.81733465
SRR11006541	12.888538	5.2152963	11.408188	1.11961	6.813317	5.9696255	13.414152	9.471586	10.626951	4.3811564	-1.8679053	-6.0139213
SRR11006542	6.358759	3.1228387	6.6797194	5.8275394	9.923383	4.645652	13.6723175	5.769856	11.514756	10.402979	-9.890039	2.1220164
SRR11006543	13.543757	5.5139194	12.546029	0.48252174	7.0482206	4.912789	11.364643	9.485211	9.7759285	7.016099	-13.995038	0.97069573
SRR11006544	12.873727	6.0886154	12.196573	0.6588731	6.4089375	6.341497	11.237858	9.443339	10.320508	6.5525136	-14.1930485	1.2107558
SRR11006545	12.269647	5.6442857	12.08083	0.4744753	7.39525	6.798464	12.396234	10.215796	8.612014	5.6441407	0.3573072	-3.6587281
SRR11006546	12.668244	5.7976875	11.621175	0.92050683	6.9381976	7.2648234	12.990348	8.929374	9.702138	4.2256484	0.3573072	-3.6587281
SRR11006547	13.985847	5.019192	12.108166	0.78916097	7.6225314	5.2548504	9.845899	7.645508	9.669895	5.9250298	-2.045591	-6.262869
SRR11006548	13.474569	5.488495	12.156176	0.61151826	8.444142	5.1358542	11.181514	9.50788	10.512795	4.5529747	-10.201238	2.185914
SRR11006549	12.314437	5.5232553	12.044832	0.73352635	7.4311333	6.797083	11.82994	9.978487	10.929457	4.607739	-10.201238	2.185914
SRR11006550	13.566736	5.4294724	11.067463	0.7139824	6.4771824	5.4647923	13.211824	9.282609	9.96016	5.792413	-13.4288645	0.7555244
SRR11006551	13.386042	4.5172706	12.030534	0.84169143	9.061246	5.9430475	12.731115	10.084412	8.028819	5.251321	-14.238666	1.1501577
SRR11006552	12.402715	5.852568	11.866846	0.883111	7.515588	7.768904	11.546525	9.7024765	9.560367	6.6952424	0.31427082	-3.758137
SRR11006553	6.3951	3.2181756	6.3497496	5.4344983	10.8465395	5.0907288	13.685902	5.836038	11.297222	8.691224	-10.151385	2.7153897
SRR11006554	14.192131	4.881971	11.970433	0.5596699	7.087324	5.026288	10.409253	7.8891673	8.367904	6.057862	0.3794875	-3.6902294
SRR11006555	12.870338	6.358149	11.437574	0.6680526	7.5027027	6.874361	13.3416	9.012695	9.714777	6.7212057	0.2735792	-3.4856756
SRR11006556	12.2403555	5.866561	11.938009	0.6356589	7.038946	5.017456	12.51891	9.317357	9.47805	6.9706793	-13.15781	1.0001893
SRR11006557	13.719938	4.9455223	9.552405	0.099851534	7.1476583	5.327516	13.075052	9.785642	10.053364	4.210574	-1.9531951	-6.0972705
SRR11006558	13.32075	4.764042	10.726147	-0.39505923	7.770424	6.305761	12.792199	10.813179	9.128107	4.8681283	0.24066162	-3.3965297
SRR11006559	13.878796	4.8860016	10.292592	0.56795174	6.832956	5.5113983	12.765242	9.857381	8.920798	7.5030956	0.4133762	-3.6850758
SRR11006560	14.047983	5.766613	12.106884	0.7438731	7.185048	6.8474016	11.072391	8.485833	9.990464	4.6636963	-13.716252	1.0062889
SRR11006561	12.310798	6.1395197	9.493954	1.562932	9.028386	7.826557	9.795209	7.7149215	8.619509	5.062916	0.28889006	-3.8387294
SRR11006562	13.041502	5.9934497	9.924241	0.0736709	7.783624	7.5865097	12.868892	8.822438	10.865333	4.662969	-13.2122345	1.0788765
SRR11006563	12.351879	6.075705	11.802281	0.66855997	7.259039	5.331089	14.159076	9.268876	10.772348	5.385732	-13.88819	1.1597673
SRR11006564	5.9434056	3.8610678	6.2687426	6.6329207	10.071527	4.830562	13.568567	4.8826194	12.258745	9.326267	-9.989843	2.3997989
SRR11006565	12.2921505	4.661477	10.806635	1.6477197	7.8859286	6.76466	13.653251	9.865193	9.823322	6.9975023	-14.238666	1.1501577
SRR11006566	14.199089	4.8346505	12.058613	0.67637855	6.9792085	5.014591	13.618934	10.430685	8.458916	6.124565	0.3573072	-3.6587281
SRR11006567	13.87832	5.337159	10.147845	1.1671141	6.9671745	5.231959	12.442702	9.782167	9.780598	4.3151846	-14.088402	1.3595389
SRR11006568	13.391462	4.7946615	11.864066	0.77277917	7.7738414	6.523677	13.12027	9.702377	9.527367	6.451481	0.34774062	-3.659042
SRR11006569	13.142472	5.763291	10.734852	0.79433787	10.074334	6.192091	13.471775	9.276573	8.126219	5.2742305	0.6292159	-3.7648935
SRR11006570	13.302447	5.1206923	11.973571	0.8414004	6.368381	6.162428	10.141027	7.7674837	9.970106	5.850943	0.69433635	-3.7829175
SRR11006571	12.466112	5.380823	10.600184	0.1832246	7.37691	6.7641916	11.171677	9.2346115	8.515031	5.0355616	-14.183761	1.1137961
SRR11006572	13.847329	5.4416347	10.281327	1.5859704	7.117323	4.9252543	12.626367	9.2139225	10.423245	5.291553	0.3573072	-3.6587281
SRR11006573	12.331181	5.4224157	11.395638	1.1026952	8.520295	7.8867774	12.587476	9.863692	9.546387	7.32964	-2.045591	-6.262869
SRR11006574	12.328196	5.6699924	10.813044	0.48407653	8.38358	7.8688765	12.252126	9.073321	9.835501	6.144869	-2.045591	-6.262869
SRR11006575	5.7012815	3.5339265	6.0865507	5.423821	10.07398	4.594654	12.369908	4.986467	11.778571	9.574138	-9.925374	1.6710348
SRR11006576	12.800421	5.753137	10.288833	1.6050713	6.685024	7.158501	12.670851	9.012241	10.8085785	4.7811074	-13.7023115	0.71527255
SRR11006577	12.776471	6.130954	10.394816	0.46528205	6.8926506	7.200039	13.381975	10.162351	9.821345	4.5132174	0.3794875	-3.6902294
SRR11006578	12.886864	4.9383106	10.728343	-0.34738004	6.9682193	7.5403914	13.107544	10.946588	10.074465	6.8807874	-13.635295	0.82700336
SRR11006579	13.630838	5.1324677	11.491531	1.6223538	6.515394	5.4405627	13.698803	9.115475	10.4991455	5.114733	-1.9531951	-6.0972705
