	All non-resistance exons_X	All non-resistance exons_Y	All countries, resistance exons_X	All countries, resistance exons_Y	chromosome 1, non-resistance exons_X	chromosome 1, non-resistance exons_Y	chromosome 2, non-resistance exons_X	chromosome 2, non-resistance exons_Y	chromosome 3, non-resistance exons_X	chromosome 3, non-resistance exons_Y	cox1 gene_X	cox1 gene_Y
ERR4065454	13.166595	4.7260733	11.247517	8.31279	11.357887	9.335334	15.117835	7.740055	6.3155875	10.407195	-14.966157	-2.5949283
ERR4065455	13.135704	4.7235327	11.27302	8.302665	11.326878	9.314265	15.515576	8.010479	6.265555	10.429694	-14.983599	-2.590718
ERR4065456	13.148274	4.7359467	11.314816	8.327844	11.667867	9.235579	18.276827	7.906698	6.2375836	10.47067	-15.0419855	-2.5757499
ERR4065457	13.108975	4.692827	11.302	8.349016	11.485735	9.351502	16.063984	8.680848	6.413184	10.251155	-15.036374	-2.5312798
ERR4065458	13.049297	4.6333337	11.31524	8.371003	11.424457	9.487108	15.655133	8.150626	6.292416	10.439452	-15.0419855	-2.5757499
ERR4065459	13.10981	4.69241	11.24406	8.355189	11.592537	9.193896	19.05788	8.501866	6.2830253	10.35719	-14.966157	-2.5949283
ERR4065460	13.13274	4.7188454	11.287082	8.301527	11.4599285	9.364965	15.28097	8.049114	6.194372	10.494925	-14.966157	-2.5949283
ERR4065462	13.10768	4.693341	11.287293	8.336458	11.446146	9.35987	15.736774	8.425902	6.2331085	10.448249	-15.0419855	-2.5757499
ERR4065463	13.124624	4.711674	11.288111	8.339656	11.456937	9.356414	15.142642	7.7098246	6.222209	10.486638	-14.966157	-2.5949283
ERR4065465	13.03701	2.8006508	12.568256	10.843057	10.83949	7.5925546	14.589089	5.551028	2.9692936	11.182975	-16.269743	-4.9798055
ERR4065466	13.125785	2.884043	12.585994	10.902629	10.97722	7.255876	14.64846	5.4927025	2.912564	11.31895	-16.269743	-4.9798055
ERR4065468	12.987845	2.8208537	12.584178	10.858965	10.86232	7.520029	14.724695	5.511026	2.8637621	11.143161	-16.269743	-4.9798055
ERR4065469	12.941711	2.8309438	12.572251	10.874428	10.762001	7.589814	14.6148205	5.5250874	2.8337412	11.178796	-16.269743	-4.9798055
ERR4065470	12.967478	2.8409362	12.587592	10.918231	10.98213	7.4014196	14.638692	5.4771304	2.9232764	11.179406	-16.269743	-4.9798055
ERR4065471	12.999357	2.879583	12.541414	10.875415	10.854934	7.475558	14.765799	4.856279	2.8555999	11.207067	-16.26229	-4.9263644
ERR4065472	13.009977	2.8080075	12.567317	10.887518	10.86866	7.3787236	14.645708	5.372859	2.8825586	11.184099	-16.269743	-4.9798055
ERR4065473	13.018691	2.7918491	12.569113	10.87655	10.844658	7.547622	14.708315	5.3910418	2.839013	11.315361	-16.269743	-4.9798055
SRR11006478	10.351476	12.970911	9.2297	2.2725008	11.785637	3.208416	19.227295	7.4603395	9.156794	9.576617	-6.492996	-5.399244
SRR11006479	9.810711	13.037596	9.834771	2.7483542	11.325214	3.8277855	17.47998	7.828388	8.412064	10.589747	-18.556282	-6.9447803
SRR11006480	9.602932	11.77023	9.756788	2.0022104	11.757825	3.074537	17.605902	9.4004545	9.287755	10.204345	-5.9397855	-5.6102824
SRR11006481	9.635339	12.087004	9.741723	1.229768	12.898284	3.4624023	19.421347	7.8712115	6.6136813	9.444801	-6.0333714	-5.651403
